"","State","year","Number.of.districts","Minimum","Maximum","Mean","score"
"73","Indiana",2005,"331",318808.6,680869708.2,40681816.2674,0.000259201388888889
"74","Indiana",2010,"378",43428,603777312.6,33555873.2124,0.000255034722222222
"75","Indiana",2014,"401",10000,442943000,28697596,0.000255729166666667
"76","Iowa",1995,"405",0,308621745,11893183.0218,0.74375
"77","Iowa",2000,"390",1311559.2,360461561.6,14011725.1344,0.7475
"78","Iowa",2005,"379",790354.4,369100353.6,14711274.9586,0.000313541666666667
"79","Iowa",2010,"371",1012958.1,423709624.8,17387145.6759,0.000308506944444444
"80","Iowa",2014,"353",1186000,448107000,18531312,0.0003046875
"81","Kansas",1995,"304",1360778.4,402487493.4,14086384.9866,0.71875
"82","Kansas",2000,"304",1157581.6,436284531.2,15046326.75,0.723125
"83","Kansas",2005,"300",1117648.4,505598922.4,16472170.0154,0.000301736111111111
"84","Kansas",2010,"289",1425524.1,693605959.2,22463204.6562,0.000301041666666667
"85","Kansas",2014,"285",1357000,623082000,19830635,0.000303472222222222
"86","Kentucky",1995,"176",1753788.6,818936946,30055420.8702,0.683125
"87","Kentucky",2000,"176",1723999.2,1042982396.4,35236843.0204,0.6875
"88","Kentucky",2005,"176",1683745.8,1077061519.6,39607746.4574,0.000291493055555556
"89","Kentucky",2010,"174",1660035.3,1199879811.9,44252077.7853,0.000297048611111111
"90","Kentucky",2014,"173",1910000,1251707000,42463694,0.000303645833333333
"91","Louisiana",1995,"66",11485839.6,620864465.4,87922509.903,0.693125
"92","Louisiana",2000,"66",11419088.8,716663992.8,100133287.1644,0.70375
"93","Louisiana",2005,"68",11571661.2,650241050.8,105917062.3434,0.000297222222222222
"94","Louisiana",2010,"113",714390.6,632272594.8,80573208.2694,0.000286631944444444
"95","Louisiana",2014,"126",1174000,561616000,68907833,0.000290798611111111
"96","Maine",1995,"291",0,100526727.6,7680516.0084,0.62625
"97","Maine",2000,"293",9623.6,102676938,8644235.0988,0.62875
"98","Maine",2005,"293",2424.4,109648338.8,9619845.8554,0.000259201388888889
"99","Maine",2010,"242",1085.7,125574233.4,12058461.6768,0.000241493055555556
"100","Maine",2014,"254",1000,123658000,10490114,0.000241666666666667
"101","Maryland",1995,"24",30598873.2,1601866080,363112169.6178,0.631875
"102","Maryland",2000,"24",33051566.8,1927767931.6,421358900.8916,0.63625
"103","Maryland",2005,"24",35750202.4,2428611182.8,494106105.1124,0.000262326388888889
"104","Maryland",2010,"24",38657434.2,2800404637.8,597392446.6125,0.000259027777777778
"105","Maryland",2014,"24",32172000,2675677000,571368292,0.000253819444444444
"106","Massachusetts",1995,"426",4660.2,879431002.2,24453593.2854,0.631875
"107","Massachusetts",2000,"391",0,1095644110.4,33284797.4956,0.64125
"108","Massachusetts",2005,"404",0,1260446772.2,38185148.54,0.000268576388888889
"109","Massachusetts",2010,"329",415823.1,1301308077.3,49030815.6492,0.000268923611111111
"110","Massachusetts",2014,"405",320000,1361931000,42319444,0.000269444444444444
"111","Michigan",1995,"618",57475.8,1982924420.4,31363845.03,0.70125
"112","Michigan",2000,"781",85237.6,2171555716.4,29186821.1516,0.708125
"113","Michigan",2005,"823",0,2319994426.2,30284365.9316,0.000296180555555556
"114","Michigan",2010,"847",104227.2,1432844975.1,26936692.5366,0.000305555555555556
"115","Michigan",2014,"892",106000,841436000,21052697,0.000310416666666667
"116","Minnesota",1995,"467",0,650215958.4,20474689.671,0.734375
"117","Minnesota",2000,"467",0,915047632.8,22961417.4216,0.730625
"118","Minnesota",2005,"537",14546.4,704907634.2,20910473.0318,0.000306423611111111
"119","Minnesota",2010,"553",6514.2,664470114,21525360.7107,0.000308680555555556
"120","Minnesota",2014,"547",4000,673902000,21682139,0.000308680555555556
"121","Mississippi",1995,"153",2522721.6,244809626.4,21931044.1128,0.70375
"122","Mississippi",2000,"152",2330286,281108105.6,27102319.146,0.698125
"123","Mississippi",2005,"152",2758967.2,299002464.2,28796958.9534,0.000288020833333333
"124","Mississippi",2010,"152",2734878.3,371476597.8,32172841.239,0.000288194444444444
"125","Mississippi",2014,"154",934000,260872000,29031325,0.000297395833333333
"126","Missouri",1995,"529",242330.4,665116171.2,14556782.4678,0.711875
"127","Missouri",2000,"524",577416,623386562.4,17601134.0876,0.72125
"128","Missouri",2005,"524",638829.4,572256588.2,18902374.029,0.000305555555555556
"129","Missouri",2010,"555",586278,449200775.1,20244359.5662,0.00030625
"130","Missouri",2014,"558",573000,407351000,18950903,0.000308506944444444
"131","Montana",1995,"502",3106.8,76273493.4,2783851.2468,0.683125
"132","Montana",2000,"476",5499.2,77247262.4,3037753.9556,0.67375
"133","Montana",2005,"465",6061,89087002.4,3306380.9614,0.000278993055555556
"134","Montana",2010,"443",7599.9,96110506.8,4026368.3922,0.000276388888888889
"135","Montana",2014,"434",7000,112175000,4042221,0.000287326388888889
"136","Nebraska",1995,"697",3106.8,399652538.4,4177137.6486,0.709375
"137","Nebraska",2000,"605",4124.4,408733539.2,4920941.2476,0.70625
"138","Nebraska",2005,"505",9697.6,498146316.8,6502135.3386,0.000299479166666667
"139","Nebraska",2010,"270",1740377.1,591895411.8,14637645.1683,0.000302951388888889
"140","Nebraska",2014,"266",1680000,620169000,15070049,0.0003046875
"141","Nevada",1995,"17",2006992.8,1242884660.4,126209181.4506,0.634375
"142","Nevada",2000,"17",2124066,2296195084.4,197507002.9044,0.64
"143","Nevada",2005,"17",2080135.2,3027170086.6,248396893.8396,0.000258159722222222
"144","Nevada",2010,"18",2416768.2,3314705070.6,259315524.5373,0.000253472222222222
