"","State","Number.of.districts","Minimum","Maximum","Mean","year"
"453","Ohio","843","0","808,400,000","22,534,458",2003
"454","Oklahoma","570","304,000","290,073,000","7,678,074",2003
"455","Oregon","219","97,000","448,060,000","22,734,082",2003
"456","Pennsylvania","693","47,000","2,039,389,000","30,155,540",2003
"457","Rhode Island","36","2,843,000","303,740,000","45,728,833",2003
"458","South Carolina","96","758,000","554,595,000","62,757,781",2003
"459","South Dakota","174","141,000","141,439,000","5,711,626",2003
"460","Tennessee","138","1,870,000","944,116,000","46,975,877",2003
"461","Texas","1,236","36,000","1,815,578,000","30,486,282",2003
"462","Utah","53","29,000","404,544,000","55,982,075",2003
"463","Vermont","332","12,000","42,175,000","4,340,244",2003
"464","Virginia","134","2,889,000","1,776,771,000","80,199,097",2003
"465","Washington","296","154,000","480,198,000","29,737,794",2003
"466","West Virginia","55","8,884,000","269,978,000","45,898,982",2003
"467","Wisconsin","430","791,000","1,152,989,000","21,228,556",2003
"468","Wyoming","48","1,944,000","112,689,000","19,073,229",2003
"469","National","16,498","$0 ","$15,739,985,000 ","$29,313,845 ",2004
"470","Alabama","130","2,401,000","474,814,000","41,925,146",2004
"471","Alaska","53","589,000","559,627,000","31,080,189",2004
"472","Arizona","569","6,000","468,828,000","12,608,480",2004
"473","Arkansas","328","352,000","269,709,000","10,806,732",2004
"474","California","1,089","3,000","8,206,329,000","57,527,964",2004
"475","Colorado","197","283,000","772,847,000","34,872,970",2004
"476","Connecticut","186","0","375,551,000","38,236,387",2004
"477","Delaware","32","1,156,000","231,797,000","44,371,813",2004
"478","District of Columbia","26","991,138","1,087,040,000","47,326,364",2004
"479","Florida","67","8,317,000","3,131,953,000","326,809,254",2004
"480","Georgia","196","2,117,000","1,215,701,000","70,304,490",2004
"481","Hawaii","1","1,734,591,000","1,734,591,000","1,734,591,000",2004
"482","Idaho","114","85,000","194,394,000","15,306,614",2004
"483","Illinois","1,024","15,000","4,224,772,000","21,175,483",2004
"484","Indiana","334","0","493,922,000","30,953,787",2004
"485","Iowa","382","661,000","331,919,000","11,631,647",2004
"486","Kansas","301","655,000","417,141,000","13,229,355",2004
"487","Kentucky","176","1,349,000","847,073,000","29,885,847",2004
"488","Louisiana","68","11,231,000","531,254,000","83,949,044",2004
"489","Maine","294","1,000","88,412,000","7,793,109",2004
"490","Maryland","24","27,839,000","1,720,288,000","371,747,417",2004
"491","Massachusetts","393","0","1,042,803,000","30,618,410",2004
"492","Michigan","804","96,000","2,021,123,000","24,982,274",2004
"493","Minnesota","512","7,000","614,401,000","17,799,350",2004
"494","Mississippi","152","2,504,000","225,201,000","22,854,789",2004
"495","Missouri","524","456,000","495,017,000","15,069,538",2004
"496","Montana","469","5,000","67,307,000","2,646,945",2004
"497","Nebraska","519","0","445,152,000","5,140,630",2004
"498","Nevada","17","1,611,000","2,291,888,000","189,918,765",2004
"499","New Hampshire","176","45,000","137,889,000","12,704,602",2004
"500","New Jersey","658","104,000","951,512,000","32,851,220",2004
"501","New Mexico","89","1,353,000","729,651,000","32,389,112",2004
"502","New York","702","338,000","15,739,985,000","61,369,272",2004
"503","North Carolina","210","289,000","1,019,823,000","49,582,657",2004
"504","North Dakota","239","65,000","95,874,000","4,006,192",2004
"505","Ohio","904","21,000","821,888,000","21,814,024",2004
"506","Oklahoma","573","0","301,359,000","7,679,003",2004
"507","Oregon","219","125,000","447,490,000","24,629,548",2004
"508","Pennsylvania","700","59,000","2,421,758,000","31,972,793",2004
"509","Rhode Island","41","761,000","331,800,000","42,772,268",2004
"510","South Carolina","96","649,000","621,286,000","63,939,906",2004
"511","South Dakota","172","129,000","155,307,000","5,884,279",2004
"512","Tennessee","136","2,270,000","950,659,000","49,548,537",2004
"513","Texas","1,245","30,000","1,749,949,000","30,959,336",2004
"514","Utah","62","14,000","419,246,000","49,712,081",2004
"515","Vermont","332","11,000","44,940,000","4,669,181",2004
"516","Virginia","134","3,042,000","1,887,675,000","85,104,888",2004
"517","Washington","296","161,000","484,167,000","30,439,122",2004
"518","West Virginia","55","8,772,000","266,933,000","47,345,382",2004
"519","Wisconsin","430","75,000","1,165,164,000","21,224,058",2004
"520","Wyoming","48","1,926,000","117,042,000","19,873,250",2004
"521","National","16,605","$0 ","$16,566,015,000 ","$30,696,884 ",2005
"522","Alabama","131","5,451,000","545,652,000","45,073,771",2005
"523","Alaska","53","533,000","591,659,000","33,051,283",2005
"524","Arizona","580","8,000","494,936,000","13,158,360",2005
"525","Arkansas","277","420,000","274,362,000","14,475,022",2005
"526","California","1,087","3,000","8,670,891,000","60,897,950",2005
"527","Colorado","198","534,000","790,799,000","36,789,293",2005
"528","Connecticut","188","0","427,560,000","39,794,239",2005
"529","Delaware","32","1,310,000","294,637,000","47,921,813",2005
"530","District of Columbia","37","1,029,000","1,085,658,000","35,307,541",2005
"531","Florida","67","8,595,000","3,439,247,000","356,074,806",2005
"532","Georgia","196","2,607,000","1,337,759,000","73,942,173",2005
"533","Hawaii","1","1,765,805,000","1,765,805,000","1,765,805,000",2005
"534","Idaho","117","101,000","212,797,000","15,651,000",2005
"535","Illinois","1,023","73,000","4,345,502,000","21,541,331",2005
"536","Indiana","331","263,000","561,681,000","33,560,317",2005
"537","Iowa","379","652,000","304,488,000","12,136,013",2005
"538","Kansas","300","922,000","417,092,000","13,588,657",2005
"539","Kentucky","176","1,389,000","888,518,000","32,674,267",2005
"540","Louisiana","68","9,546,000","536,414,000","87,375,897",2005
"541","Maine","293","2,000","90,454,000","7,935,857",2005
"542","Maryland","24","29,492,000","2,003,474,000","407,611,042",2005
"543","Massachusetts","404","0","1,039,801,000","31,500,700",2005
"544","Michigan","823","0","1,913,871,000","24,982,978",2005
"545","Minnesota","537","12,000","581,511,000","17,250,019",2005
"546","Mississippi","152","2,276,000","246,661,000","23,755,947",2005
"547","Missouri","524","527,000","472,081,000","15,593,445",2005
"548","Montana","465","5,000","73,492,000","2,727,587",2005
"549","Nebraska","505","8,000","410,944,000","5,363,913",2005
"550","Nevada","17","1,716,000","2,497,253,000","204,914,118",2005
"551","New Hampshire","176","36,000","145,978,000","13,257,182",2005
"552","New Jersey","661","122,000","959,550,000","35,082,575",2005
"553","New Mexico","89","1,533,000","769,337,000","33,839,281",2005
"554","New York","699","346,000","16,566,015,000","64,683,564",2005
"555","North Carolina","212","424,000","1,056,103,000","52,354,014",2005
"556","North Dakota","237","69,000","109,428,000","4,158,236",2005
"557","Ohio","983","20,000","786,206,000","20,631,937",2005
"558","Oklahoma","573","0","342,306,000","8,352,508",2005
"559","Oregon","218","150,000","484,701,000","25,676,968",2005
"560","Pennsylvania","712","48,000","2,531,423,000","33,157,653",2005
"561","Rhode Island","41","999,000","351,196,000","46,204,780",2005
"562","South Carolina","97","721,000","825,158,000","67,754,546",2005
"563","South Dakota","168","126,000","161,115,000","6,305,375",2005
"564","Tennessee","136","2,453,000","974,914,000","51,967,066",2005
"565","Texas","1,245","153,000","1,848,956,000","32,735,876",2005
"566","Utah","76","5,000","459,152,000","42,376,276",2005
"567","Vermont","334","14,000","47,778,000","4,893,856",2005
"568","Virginia","134","3,691,000","2,038,156,000","92,426,545",2005
"569","Washington","296","173,000","535,005,000","31,755,416",2005
"570","West Virginia","55","9,309,000","278,247,000","49,067,327",2005
"571","Wisconsin","430","59,000","1,197,722,000","21,938,377",2005
"572","Wyoming","48","2,212,000","137,328,000","21,533,396",2005
"573","National","16,644","$0 ","$18,584,181,000 ","$32,454,398 ",2006
"574","Alabama","131","6,048,000","572,066,000","50,316,252",2006
"575","Alaska","53","527,000","618,773,000","34,295,396",2006
"576","Arizona","577","8,000","530,985,000","14,687,024",2006
"577","Arkansas","275","325,000","289,758,000","15,834,356",2006
"578","California","1,085","3,000","9,138,581,000","63,340,491",2006
"579","Colorado","199","503,000","867,642,000","39,227,643",2006
"580","Connecticut","191","0","481,350,000","41,952,681",2006
"581","Delaware","36","211,000","338,080,000","47,321,889",2006
"582","District of Columbia","44","727,000","1,081,887,000","28,718,591",2006
"583","Florida","67","9,322,000","3,893,123,000","397,151,567",2006
"584","Georgia","196","2,679,000","1,493,189,000","80,812,383",2006
"585","Hawaii","1","1,939,968,000","1,939,968,000","1,939,968,000",2006
"586","Idaho","122","108,000","213,656,000","15,763,484",2006
"587","Illinois","1,016","0","4,455,185,000","22,269,024",2006
"588","Indiana","330","346,000","553,292,000","34,240,221",2006
"589","Iowa","377","1,082,000","340,319,000","13,078,549",2006
"590","Kansas","296","1,030,000","463,263,000","14,996,622",2006
"591","Kentucky","176","1,471,000","942,280,000","34,732,830",2006
"592","Louisiana","68","9,409,000","467,808,000","88,708,559",2006
"593","Maine","296","2,000","93,027,000","8,045,402",2006
"594","Maryland","24","36,267,000","2,099,080,000","441,053,833",2006
"595","Massachusetts","397","0","1,132,560,000","34,014,159",2006
"596","Michigan","833","89,000","1,634,001,000","24,892,092",2006
"597","Minnesota","546","6,000","584,352,000","18,112,879",2006
"598","Mississippi","152","2,426,000","269,348,000","26,750,237",2006
"599","Missouri","524","550,000","479,064,000","16,516,550",2006
"600","Montana","458","11,000","84,173,000","3,007,858",2006
"601","Nebraska","477","3,000","447,072,000","6,011,006",2006
"602","Nevada","17","2,022,000","2,898,553,000","236,645,824",2006
"603","New Hampshire","177","38,000","151,762,000","14,092,006",2006
"604","New Jersey","664","149,000","1,064,086,000","36,677,628",2006
"605","New Mexico","89","1,444,000","831,890,000","34,828,517",2006
"606","New York","698","211,000","18,584,181,000","69,460,119",2006
"607","North Carolina","214","39,000","1,173,179,000","55,712,687",2006
"608","North Dakota","229","67,000","124,320,000","4,441,415",2006
"609","Ohio","1,019","3,000","863,053,000","20,775,335",2006
"610","Oklahoma","574","0","374,491,000","8,875,775",2006
"611","Oregon","218","75,000","461,061,000","24,707,009",2006
"612","Pennsylvania","719","126,000","2,607,832,000","34,377,905",2006
"613","Rhode Island","44","947,000","383,202,000","45,519,977",2006
"614","South Carolina","97","766,000","783,897,000","73,691,577",2006
"615","South Dakota","168","43,000","154,866,000","6,263,780",2006
"616","Tennessee","136","2,580,000","1,021,710,000","54,377,625",2006
"617","Texas","1,246","50,000","2,001,122,000","35,238,754",2006
"618","Utah","90","14,000","465,233,000","38,218,289",2006
"619","Vermont","335","0","50,537,000","5,154,710",2006
"620","Virginia","134","3,785,000","2,199,898,000","100,606,985",2006
"621","Washington","296","180,000","552,617,000","33,498,706",2006
"622","West Virginia","55","9,363,000","284,693,000","51,865,582",2006
"623","Wisconsin","430","1,038,000","1,151,958,000","22,743,353",2006
"624","Wyoming","48","2,450,000","150,522,000","23,885,979",2006
"625","National","16,394","$0 ","$20,144,661,000 ","$35,074,095 ",2007
"626","Alabama","131","6,781,000","606,687,000","54,934,802",2007
"627","Alaska","53","545,000","587,025,000","36,580,283",2007
"628","Arizona","573","4,000","593,648,000","16,243,162",2007
"629","Arkansas","268","312,000","321,963,000","17,288,649",2007
"630","California","1,085","10,000","9,486,984,000","67,494,460",2007
"631","Colorado","200","58,000","886,873,000","40,166,350",2007
"632","Connecticut","192","0","481,793,000","45,504,792",2007
"633","Delaware","36","1,086,000","280,310,000","49,350,944",2007
"634","District of Columbia","50","829,000","1,140,506,000","29,141,320",2007
"635","Florida","67","10,917,000","4,598,637,000","445,520,776",2007
"636","Georgia","196","2,777,000","1,556,471,000","88,705,898",2007
"637","Hawaii","1","2,199,604,000","2,199,604,000","2,199,604,000",2007
"638","Idaho","125","100,000","231,899,000","15,906,384",2007
"639","Illinois","1,012","48,000","4,571,863,000","23,360,747",2007
"640","Indiana","330","109,000","563,166,000","34,851,073",2007
"641","Iowa","376","1,132,000","376,387,000","13,827,061",2007
"642","Kansas","296","892,000","525,079,000","16,296,855",2007
"643","Kentucky","175","1,462,000","999,852,000","36,295,063",2007
"644","Louisiana","87","1,634,000","477,868,000","78,229,655",2007
"645","Maine","298","2,000","99,024,000","8,393,044",2007
"646","Maryland","24","34,785,000","2,177,458,000","480,884,375",2007
"647","Massachusetts","332","139,000","1,229,316,000","42,894,819",2007
"648","Michigan","837","76,000","1,536,701,000","24,984,717",2007
"649","Minnesota","552","5,000","606,042,000","18,596,460",2007
"650","Mississippi","152","2,253,000","275,020,000","27,360,086",2007
"651","Missouri","540","510,000","420,248,000","17,176,998",2007
"652","Montana","452","10,000","78,271,000","3,191,226",2007
"653","Nebraska","271","1,260,000","454,528,000","11,419,229",2007
"654","Nevada","17","1,960,000","3,184,177,000","255,668,882",2007
"655","New Hampshire","174","62,000","155,553,000","14,989,598",2007
"656","New Jersey","665","95,000","1,123,163,000","38,757,744",2007
"657","New Mexico","89","1,405,000","902,192,000","36,847,944",2007
"658","New York","698","0","20,144,661,000","73,624,394",2007
"659","North Carolina","208","387,000","1,262,116,000","62,542,149",2007
"660","North Dakota","223","79,000","116,554,000","4,673,430",2007
"661","Ohio","1,032","35,000","900,413,000","21,291,090",2007
"662","Oklahoma","569","437,000","372,391,000","9,675,243",2007
"663","Oregon","217","80,000","484,798,000","25,968,968",2007
"664","Pennsylvania","721","63,000","2,687,414,000","36,487,086",2007
"665","Rhode Island","44","1,501,000","396,313,000","47,830,341",2007
"666","South Carolina","96","779,000","785,218,000","80,474,146",2007
"667","South Dakota","168","64,000","168,006,000","6,571,583",2007
"668","Tennessee","136","2,475,000","1,077,655,000","57,482,787",2007
"669","Texas","1,240","56,000","1,994,588,000","37,538,399",2007
"670","Utah","91","325,000","491,361,000","41,576,923",2007
"671","Vermont","334","30,000","58,289,000","5,440,994",2007
"672","Virginia","134","3,974,000","2,343,558,000","109,707,858",2007
"673","Washington","296","169,000","597,094,000","36,089,179",2007
"674","West Virginia","55","9,846,000","303,838,000","54,241,218",2007
"675","Wisconsin","428","115,000","1,142,577,000","23,338,500",2007
"676","Wyoming","48","2,543,000","180,696,000","28,965,500",2007
"677","National","16,453","$0 ","$21,848,614,000 ","$37,064,380 ",2008
"678","Alabama","132","5,735,000","631,547,000","59,449,902",2008
"679","Alaska","53","593,000","693,415,000","42,921,113",2008
"680","Arizona","581","5,000","603,146,000","17,612,320",2008
"681","Arkansas","264","377,000","347,734,000","17,906,409",2008
"682","California","1,084","6,000","10,244,106,000","70,687,085",2008
"683","Colorado","199","674,000","1,236,973,000","44,841,327",2008
"684","Connecticut","193","0","464,988,000","47,188,440",2008
"685","Delaware","36","1,894,000","280,884,000","50,866,556",2008
"686","District of Columbia","54","964,000","1,224,785,000","30,543,370",2008
"687","Florida","67","12,146,000","4,624,086,000","465,964,015",2008
"688","Georgia","197","2,602,000","1,889,054,000","97,345,320",2008
"689","Hawaii","1","2,242,408,000","2,242,408,000","2,242,408,000",2008
"690","Idaho","129","130,000","237,138,000","15,793,674",2008
"691","Illinois","1,008","61,000","4,941,544,000","25,496,064",2008
"692","Indiana","330","302,000","510,246,000","33,083,942",2008
"693","Iowa","374","1,123,000","388,799,000","14,694,535",2008
"694","Kansas","295","833,000","546,969,000","17,362,878",2008
"695","Kentucky","174","1,824,000","1,042,775,000","39,041,466",2008
"696","Louisiana","95","1,382,000","548,542,000","81,708,611",2008
"697","Maine","295","0","99,986,000","8,753,536",2008
"698","Maryland","24","34,802,000","2,480,429,000","530,820,542",2008
"699","Massachusetts","332","169,000","1,308,629,000","44,070,919",2008
"700","Michigan","839","96,000","1,432,456,000","24,845,163",2008
"701","Minnesota","556","12,000","611,597,000","19,393,023",2008
"702","Mississippi","152","2,463,000","282,929,000","28,705,974",2008
"703","Missouri","551","530,000","430,150,000","18,261,844",2008
"704","Montana","450","7,000","84,516,000","3,461,507",2008
"705","Nebraska","271","1,313,000","474,577,000","12,271,819",2008
"706","Nevada","17","1,810,000","3,664,948,000","287,130,471",2008
"707","New Hampshire","174","69,000","164,786,000","15,608,971",2008
"708","New Jersey","668","28,000","1,149,086,000","39,515,177",2008
"709","New Mexico","89","1,679,000","1,002,803,000","40,446,337",2008
"710","New York","698","0","21,848,614,000","78,814,377",2008
"711","North Carolina","213","558,000","1,447,518,000","65,652,892",2008
"712","North Dakota","218","77,000","113,622,000","4,981,514",2008
"713","Ohio","1,038","14,000","986,576,000","21,812,817",2008
"714","Oklahoma","568","384,000","383,964,000","9,978,431",2008
"715","Oregon","217","69,000","524,944,000","29,527,705",2008
"716","Pennsylvania","728","88,000","2,830,437,000","37,656,411",2008
"717","Rhode Island","44","1,633,000","409,088,000","49,976,273",2008
"718","South Carolina","96","949,000","733,942,000","85,075,646",2008
"719","South Dakota","165","108,000","181,378,000","7,064,570",2008
"720","Tennessee","136","2,768,000","1,148,578,000","62,415,596",2008
"721","Texas","1,246","50,000","1,968,836,000","40,874,581",2008
"722","Utah","98","363,000","601,025,000","46,317,265",2008
"723","Vermont","334","21,000","56,796,000","5,696,347",2008
"724","Virginia","134","4,243,000","2,466,402,000","113,703,776",2008
"725","Washington","304","183,000","648,122,000","38,413,375",2008
"726","West Virginia","55","10,023,000","308,295,000","55,798,364",2008
"727","Wisconsin","429","1,241,000","1,180,778,000","24,582,667",2008
"728","Wyoming","48","2,977,000","219,285,000","31,610,938",2008
"729","     Total","16,563","$0 ","$23,296,966,000 ","$37,680,260 ",2009
"730","Alabama","132","6,630,000","595,423,000","59,208,083",2009
"731","Alaska","53","624,000","737,118,000","45,215,321",2009
"732","Arizona","589","5,000","624,717,000","17,469,008",2009
"733","Arkansas","277","365,000","341,579,000","18,255,776",2009
"734","California","1,075","6,000","10,541,504,000","69,555,957",2009
"735","Colorado","215","286,000","880,900,000","41,028,200",2009
"736","Connecticut","195","0","489,852,000","48,193,754",2009
"737","Delaware","37","1,282,000","289,817,000","50,904,568",2009
"738","District of Columbia","56","294,000","805,362,000","22,107,018",2009
"739","Florida","67","11,324,000","3,993,706,000","430,857,149",2009
"740","Georgia","197","2,120,000","1,878,490,000","96,602,289",2009
"741","Hawaii","1","2,318,671,000","2,318,671,000","2,318,671,000",2009
"742","Idaho","131","107,000","247,794,000","16,190,321",2009
"743","Illinois","1,006","189,000","5,543,642,000","27,551,404",2009
"744","Indiana","330","285,000","547,158,000","34,186,258",2009
"745","Iowa","372","1,084,000","381,696,000","15,409,102",2009
"746","Kansas","293","827,000","584,111,000","19,889,935",2009
"747","Kentucky","174","1,886,000","1,063,418,000","39,258,655",2009
"748","Louisiana","104","233,000","593,265,000","79,523,452",2009
"749","Maine","288","0","103,805,000","9,177,601",2009
"750","Maryland","24","35,706,000","2,252,176,000","531,566,625",2009
"751","Massachusetts","392","207,000","1,195,636,000","39,508,133",2009
"752","Michigan","839","32,000","1,326,638,000","24,987,771",2009
"753","Minnesota","560","7,000","615,654,000","20,666,480",2009
"754","Mississippi","152","2,514,000","289,148,000","29,952,342",2009
"755","Missouri","551","530,000","457,251,000","18,913,020",2009
"756","Montana","447","6,000","82,962,000","3,629,720",2009
"757","Nebraska","271","1,396,000","508,044,000","13,002,963",2009
"758","Nevada","17","2,058,000","3,290,531,000","269,287,118",2009
"759","New Hampshire","175","80,000","165,095,000","15,756,577",2009
"760","New Jersey","673","32,000","1,151,866,000","39,290,088",2009
"761","New Mexico","93","1,678,000","1,213,761,000","42,536,452",2009
"762","New York","696","0","23,296,966,000","83,322,361",2009
"763","North Carolina","212","613,000","1,620,152,000","71,528,179",2009
"764","North Dakota","217","0","122,550,000","5,249,143",2009
"765","Ohio","1,040","18,000","928,171,000","22,330,941",2009
"766","Oklahoma","563","443,000","394,776,000","10,553,817",2009
"767","Oregon","217","96,000","518,628,000","30,944,751",2009
"768","Pennsylvania","730","79,000","2,762,022,000","38,670,830",2009
"769","Rhode Island","44","1,811,000","436,426,000","50,952,523",2009
"770","South Carolina","97","952,000","712,303,000","87,080,732",2009
"771","South Dakota","161","97,000","192,635,000","7,779,913",2009
"772","Tennessee","136","2,717,000","1,124,229,000","63,317,485",2009
"773","Texas","1,251","82,000","2,081,971,000","43,520,056",2009
"774","Utah","112","0","667,668,000","41,613,741",2009
"775","Vermont","331","9,000","61,937,000","5,064,432",2009
"776","Virginia","134","4,337,000","2,490,174,000","115,748,642",2009
"777","Washington","304","218,000","697,142,000","40,265,237",2009
"778","West Virginia","55","10,318,000","309,692,000","56,758,691",2009
"779","Wisconsin","429","1,296,000","1,232,115,000","25,362,424",2009
"780","Wyoming","48","2,780,000","258,398,000","34,544,917",2009
"781","     Total","16,527","$0 ","$24,597,709,000 ","$37,693,081 ",2010
"782","Alabama","132","5,819,000","581,520,000","57,936,144",2010
"783","Alaska","53","635,000","755,014,000","44,689,377",2010
"784","Arizona","615","1,000","578,202,000","15,745,475",2010
"785","Arkansas","277","473,000","355,803,000","20,102,513",2010
"786","California","1,071","9,000","9,735,797,000","66,510,837",2010
"787","Colorado","198","599,000","1,005,375,000","45,317,429",2010
"788","Connecticut","195","0","589,034,000","49,426,205",2010
"789","Delaware","40","125,000","273,681,000","46,264,300",2010
"790","District of Columbia","57","1,040,000","1,290,048,000","31,195,123",2010
"791","Florida","67","12,115,000","3,668,809,000","406,970,284",2010
"792","Georgia","197","1,942,000","1,711,261,000","90,756,523",2010
"793","Hawaii","1","2,215,458,000","2,215,458,000","2,215,458,000",2010
"794","Idaho","137","110,000","243,649,000","15,722,190",2010
"795","Illinois","1,005","135,000","5,363,330,000","28,419,296",2010
"796","Indiana","378","40,000","556,118,000","30,907,132",2010
"797","Iowa","371","933,000","390,264,000","16,014,687",2010
"798","Kansas","289","1,313,000","638,856,000","20,690,066",2010
"799","Kentucky","174","1,529,000","1,105,167,000","40,759,029",2010
"800","Louisiana","113","658,000","582,364,000","74,213,142",2010
"801","Maine","242","1,000","115,662,000","11,106,624",2010
"802","Maryland","24","35,606,000","2,579,354,000","550,237,125",2010
"803","Massachusetts","329","383,000","1,198,589,000","45,160,556",2010
"804","Michigan","847","96,000","1,319,743,000","24,810,438",2010
"805","Minnesota","553","6,000","612,020,000","19,826,251",2010
"806","Mississippi","152","2,519,000","342,154,000","29,633,270",2010
"807","Missouri","555","540,000","413,743,000","18,646,366",2010
"808","Montana","443","7,000","88,524,000","3,708,546",2010
"809","Nebraska","270","1,603,000","545,174,000","13,482,219",2010
"810","Nevada","18","2,226,000","3,053,058,000","238,846,389",2010
"811","New Hampshire","176","75,000","162,917,000","16,232,756",2010
"812","New Jersey","668","51,000","1,129,720,000","40,518,430",2010
"813","New Mexico","109","43,000","1,112,328,000","35,265,349",2010
"814","New York","697","0","24,597,709,000","86,384,700",2010
"815","North Carolina","211","653,000","1,529,792,000","68,676,175",2010
"816","North Dakota","213","94,000","150,080,000","5,950,357",2010
"817","Ohio","1,030","21,000","936,582,000","23,053,236",2010
"818","Oklahoma","565","359,000","392,530,000","10,578,469",2010
"819","Oregon","217","85,000","543,852,000","29,484,171",2010
"820","Pennsylvania","737","27,000","2,950,542,000","39,603,387",2010
"821","Rhode Island","46","770,000","451,617,000","49,459,109",2010
"822","South Carolina","98","949,000","674,303,000","84,677,010",2010
"823","South Dakota","156","321,000","201,426,000","8,215,590",2010
"824","Tennessee","136","2,656,000","1,153,095,000","64,414,463",2010
"825","Texas","1,255","71,000","2,174,637,000","43,703,907",2010
"826","Utah","111","467,000","503,587,000","41,510,405",2010
"827","Vermont","330","8,000","69,095,000","5,261,982",2010
"828","Virginia","134","3,908,000","2,387,209,000","111,342,022",2010
"829","Washington","304","357,000","728,773,000","38,884,257",2010
"830","West Virginia","55","11,537,000","342,409,000","63,356,236",2010
"831","Wisconsin","428","1,369,000","1,260,663,000","25,973,881",2010
"832","Wyoming","48","3,106,000","238,378,000","35,337,021",2010
"833","National","16,530","$0 ","$23,884,430,000 ","$37,325,551 ",2011
"834","Alabama","132","6,064,000","581,480,000","56,149,758",2011
"835","Alaska","53","719,000","768,723,000","46,036,151",2011
"836","Arizona","610","4,000","547,057,000","15,717,166",2011
"837","Arkansas","271","519,000","386,146,000","21,110,616",2011
"838","California","1,070","10,000","9,337,246,000","65,340,337",2011
"839","Colorado","197","671,000","1,101,773,000","44,386,558",2011
"840","Connecticut","194","0","471,360,000","49,202,624",2011
"841","Delaware","40","114,000","292,123,000","47,672,300",2011
"842","District of Columbia","50","1,665,000","1,297,175,000","38,173,760",2011
"843","Florida","67","11,695,000","3,611,956,000","402,864,866",2011
"844","Georgia","197","2,209,000","1,622,360,000","87,497,746",2011
"845","Hawaii","1","2,259,104,000","2,259,104,000","2,259,104,000",2011
"846","Idaho","141","103,000","220,261,000","14,314,567",2011
"847","Illinois","1,005","71,000","5,723,310,000","28,388,494",2011
"848","Indiana","383","140,000","565,152,000","29,598,392",2011
"849","Iowa","367","896,000","404,544,000","16,504,888",2011
"850","Kansas","286","1,146,000","723,975,000","19,797,713",2011
"851","Kentucky","174","1,537,000","1,174,757,000","41,688,724",2011
"852","Louisiana","117","533,000","624,259,000","72,921,060",2011
"853","Maine","247","1,000","112,790,000","11,085,773",2011
"854","Maryland","24","33,202,000","2,496,790,000","551,987,375",2011
"855","Massachusetts","329","387,000","1,225,600,000","46,054,559",2011
"856","Michigan","846","95,000","1,441,082,000","23,099,863",2011
"857","Minnesota","554","2,000","610,394,000","19,921,588",2011
"858","Mississippi","152","2,257,000","319,241,000","28,590,678",2011
"859","Missouri","558","609,000","388,078,000","18,060,679",2011
"860","Montana","440","9,000","93,897,000","3,765,125",2011
"861","Nebraska","267","1,608,000","561,788,000","13,769,011",2011
"862","Nevada","18","2,507,000","3,022,858,000","239,361,500",2011
"863","New Hampshire","174","60,000","173,696,000","17,248,529",2011
"864","New Jersey","673","69,000","1,055,182,000","38,767,282",2011
"865","New Mexico","110","1,037,000","1,021,767,000","33,991,027",2011
"866","New York","696","0","23,884,430,000","85,616,068",2011
"867","North Carolina","214","705,000","1,336,964,000","66,092,220",2011
"868","North Dakota","211","103,000","152,286,000","6,219,081",2011
"869","Ohio","1,055","32,000","916,172,000","22,872,119",2011
"870","Oklahoma","539","205,000","444,830,000","10,488,705",2011
"871","Oregon","217","106,000","554,184,000","29,113,525",2011
"872","Pennsylvania","744","147,000","3,142,979,000","40,274,633",2011
"873","Rhode Island","51","734,000","421,683,000","45,918,176",2011
"874","South Carolina","97","973,000","655,980,000","82,962,608",2011
"875","South Dakota","160","18,000","196,951,000","8,441,356",2011
"876","Tennessee","136","2,945,000","1,187,591,000","65,892,963",2011
"877","Texas","1,242","332,000","2,296,500,000","43,371,225",2011
"878","Utah","117","408,000","536,028,000","38,734,530",2011
"879","Vermont","328","8,000","79,356,000","5,301,470",2011
"880","Virginia","134","3,998,000","2,470,926,000","109,521,007",2011
"881","Washington","304","181,000","680,031,000","39,238,184",2011
"882","West Virginia","63","2,722,000","364,009,000","58,255,857",2011
"883","Wisconsin","427","1,379,000","1,298,621,000","26,793,251",2011
"884","Wyoming","48","3,037,000","213,359,000","34,517,708",2011
"885","National","16,728","$0 ","$24,814,225,000 ","$36,842,702 ",2012
"886","Alabama","132","5,640,000","573,397,000","54,713,341",2012
"887","Alaska","53","860,000","777,227,000","46,855,094",2012
"888","Arizona","621","6,000","517,772,000","14,669,163",2012
"889","Arkansas","271","672,000","365,394,000","21,108,096",2012
"890","California","1,075","10,000","8,898,332,000","65,400,674",2012
"891","Colorado","197","648,000","1,052,787,000","43,399,741",2012
"892","Connecticut","194","299,000","502,538,000","51,020,567",2012
"893","Delaware","41","1,436,000","303,963,000","49,589,293",2012
"894","District of Columbia","61","0","1,189,542,000","30,670,115",2012
"895","Florida","67","10,528,000","3,407,559,000","378,388,761",2012
"896","Georgia","208","1,053,000","1,590,201,000","84,177,365",2012
"897","Hawaii","1","2,344,733,000","2,344,733,000","2,344,733,000",2012
"898","Idaho","145","100,000","213,270,000","13,625,717",2012
"899","Illinois","1,000","168,000","5,741,225,000","29,166,923",2012
"900","Indiana","387","13,000","591,308,000","30,124,416",2012
"901","Iowa","360","862,000","415,927,000","17,380,350",2012
"902","Kansas","286","1,235,000","638,760,000","19,635,364",2012
